phase,n_min,count_leq,total,frac
fault,0,0,16,0.0
fault,5,7,16,0.4375
fault,10,12,16,0.75
fault,15,16,16,1.0
fault,20,16,16,1.0
fault,25,16,16,1.0
fault,30,16,16,1.0
fault,35,16,16,1.0
fault,40,16,16,1.0
fault,45,16,16,1.0
fault,50,16,16,1.0
fault,55,16,16,1.0
fault,60,16,16,1.0
recovery,0,0,20,0.0
recovery,5,6,20,0.3
recovery,10,13,20,0.65
recovery,15,20,20,1.0
recovery,20,20,20,1.0
recovery,25,20,20,1.0
recovery,30,20,20,1.0
recovery,35,20,20,1.0
recovery,40,20,20,1.0
recovery,45,20,20,1.0
recovery,50,20,20,1.0
recovery,55,20,20,1.0
recovery,60,20,20,1.0
