anomaly_id,phase,hit_idx,offset_s,offset_min
1,fault,242,30,0.5
1,fault,250,150,2.5
1,fault,269,435,7.25
1,fault,272,480,8.0
1,recovery,311,165,2.75
1,recovery,331,465,7.75
1,recovery,349,735,12.25
1,recovery,350,750,12.5
2,fault,364,45,0.75
2,recovery,430,135,2.25
2,recovery,431,150,2.5
2,recovery,432,165,2.75
2,recovery,455,510,8.5
2,recovery,468,705,11.75
2,recovery,469,720,12.0
3,fault,484,45,0.75
3,fault,486,75,1.25
3,fault,502,315,5.25
3,fault,506,375,6.25
3,fault,522,615,10.25
3,fault,523,630,10.5
3,fault,531,750,12.5
3,recovery,545,60,1.0
3,recovery,565,360,6.0
3,recovery,566,375,6.25
3,recovery,577,540,9.0
3,recovery,600,885,14.75
4,fault,603,30,0.5
4,fault,621,300,5.0
4,fault,640,585,9.75
4,fault,644,645,10.75
4,recovery,664,45,0.75
4,recovery,684,345,5.75
4,recovery,685,360,6.0
4,recovery,706,675,11.25
4,recovery,718,855,14.25
